"","Site","Cover","Year","AssSub","Gluc","Oxal","Glyc","AssTemp","LatN","LongE","Biome","MAT","MAP","MAT2","MAP2","MT3","MT2","MT1","Sand","Silt","Clay","Cper","Nper","Resp","SIR","pH","Hion","WHC","Moist","TotPLFA","SITE","COVER","YEAR","LogResp"
"1","AND","herb",2010,"Glucose","1","0",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,71.8,26.8,1.4,10.1,0.77,0.8,1.83,5.46,3.47,0.9546,40.6,223.61,"AND","herb","2010",-0.22314355131421
"2","AND","forest",2010,"Glucose","1","0",0,12,44.21,-122.26,"temp",8.5,2257,9.3,1768,12.7,11,8.9,79.8,18.2,1.8,12.58,0.47,0.76,2.05,5.36,4.37,1.3935,45.05,272.04,"AND","forest","2010",-0.27443684570176
"3","BNZ","herb",2010,"Glucose","1","0",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,NA,NA,NA,10.18,0.64,1.43,2.43,5.56,2.75,1.0536,35.23,379.03,"BNZ","herb","2010",0.357674444271816
"4","BNZ","forest",2010,"Glucose","1","0",0,12,64.85,-147.84,"bor",-2.94,269,-2,324,6.1,2,-3.5,23.8,68.4,7.8,5.16,0.31,1.34,4.41,5.8,1.58,0.6343,17.75,123.73,"BNZ","forest","2010",0.29266961396282
"5","CDR","herb",2010,"Glucose","1","0",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,93.8,5.6,0.6,0.88,0.08,0.32,0.58,6.02,0.95,0.1758,5.3,17.99,"CDR","herb","2010",-1.13943428318836
"6","CDR","forest",2010,"Glucose","1","0",0,12,45.4,-93.2,"temp",6.7,269,6.4,803,15.4,11.9,10.1,91.4,5.8,2.8,1.9,0.14,0.41,0.73,4.86,13.8,0.2672,10.8,49.09,"CDR","forest","2010",-0.891598119283784
"7","CWT","herb",2010,"Glucose","1","0",0,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,71.2,25,3.8,2.58,0.2,0.21,1.16,5.49,3.24,0.5895,28.76,103.07,"CWT","herb","2010",-1.56064774826467
"8","CWT","forest",2010,"Glucose","1","0",0,12,35,-83.5,"temp",13.3,1000,13,1752,13.4,10.6,8.5,63.8,26.4,9.8,7.61,0.37,0.61,2.13,4.63,23.44,1.1632,37.16,207.06,"CWT","forest","2010",-0.49429632181478
"9","HBR","herb",2010,"Glucose","1","0",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,79.4,16.8,3.8,5.19,0.36,0.5,1.24,5,10,0.5746,24.58,186.1,"HBR","herb","2010",-0.693147180559945
"10","HBR","forest",2010,"Glucose","1","0",0,12,43.94,-71.75,"temp",5.6,1400,6.8,1074,14.3,11.8,7.8,93.2,4,2.8,15.53,0.84,1.53,15.93,4.18,66.07,1.8601,55.36,500.86,"HBR","forest","2010",0.425267735404344
"11","HETF","herb",2010,"Glucose","1","0",0,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,95.4,0.8,3.8,10.4,0.7,0.28,1.53,5.79,1.62,1.3132,49,161.34,"HETF","herb","2010",-1.27296567581289
"12","HETF","forest",2010,"Glucose","1","0",0,12,19.81,-155.26,"trop",15,1618,21.7,3720,22.6,22.5,22.5,73.4,23.8,2.8,15.02,1.12,1.33,3.52,4.38,41.69,2.1481,56.98,465.68,"HETF","forest","2010",0.285178942233662
"13","HFR","herb",2010,"Glucose","1","0",0,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,65.2,28.8,6,2.81,0.22,0.2,1.04,7.42,0.04,0.392,21.13,46.06,"HFR","herb","2010",-1.6094379124341
"14","HFR","forest",2010,"Glucose","1","0",0,12,42.53,-72.19,"temp",7.1,1066,8.3,1226,10.3,6.7,4,NA,NA,NA,20.83,1.04,2.84,31.81,4.04,91.2,2.7487,56.11,494.13,"HFR","forest","2010",1.04380405217311
"15","KBS","herb",2010,"Glucose","1","0",0,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,38.2,52,9.8,3.44,0.29,0.91,2.09,6.31,0.49,0.5357,20.37,174.83,"KBS","herb","2010",-0.0943106794712413
"16","KBS","forest",2010,"Glucose","1","0",0,12,42.4,-85.4,"temp",8.8,890,8.4,950,16.6,13.7,11.1,59.2,33.6,7.2,2.87,0.19,0.68,1.24,5.84,1.45,0.4418,16.61,71.88,"KBS","forest","2010",-0.385662480811985
