"","Soil","Microsite","Temperature","Resp","COU","NAM","Lat_decimal","Long_decimal","ELE_1","MAT","RAI","SAC","CLC","SIC","pH","SOC","CFE","SIR","BACT_qPCR"
"1",1,0,10,2.324240284,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,67.5035789,23.68681863,8.809602467,6.834,0.288305047,655.8,2.778817,515766056.8
"2",1,0,20,2.777840888,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,67.5035789,23.68681863,8.809602467,6.834,0.288305047,655.8,2.778817,515766056.8
"3",1,0,30,5.819782425,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,67.5035789,23.68681863,8.809602467,6.834,0.288305047,655.8,2.778817,515766056.8
"4",1,1,10,2.723454756,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,91.74010259,0.697093253,7.562804156,6.728,0.66289853,434.2,2.644354,499516138.9
"5",1,1,20,2.963828682,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,91.74010259,0.697093253,7.562804156,6.728,0.66289853,434.2,2.644354,499516138.9
"6",1,1,30,7.07159893,"Argentina","Castañeda",-41.807778,-69.676417,1214,7.3,217,91.74010259,0.697093253,7.562804156,6.728,0.66289853,434.2,2.644354,499516138.9
"7",2,0,10,4.249860016,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,72.6875648,3.267079923,24.04535528,6.596,1.792102998,299.7,4.920302,NA
"8",2,0,20,4.860793745,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,72.6875648,3.267079923,24.04535528,6.596,1.792102998,299.7,4.920302,NA
"9",2,0,30,8.697325766,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,72.6875648,3.267079923,24.04535528,6.596,1.792102998,299.7,4.920302,NA
"10",2,1,10,4.778791983,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,82.96057995,1.284621995,15.75479805,6.546,2.02047086,882.5,4.067481,NA
"11",2,1,20,4.557180506,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,82.96057995,1.284621995,15.75479805,6.546,2.02047086,882.5,4.067481,NA
"12",2,1,30,12.36808976,"Argentina","Ea. Perito Moreno",-41.106714,-70.891139,1134,7.2,568,82.96057995,1.284621995,15.75479805,6.546,2.02047086,882.5,4.067481,NA
"13",3,0,10,4.426758341,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,69.87887661,9.933892364,20.18723102,6.328,1.795804233,609.7,4.515417,1860571456
"14",3,0,20,5.046745999,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,69.87887661,9.933892364,20.18723102,6.328,1.795804233,609.7,4.515417,1860571456
"15",3,0,30,10.1483727,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,69.87887661,9.933892364,20.18723102,6.328,1.795804233,609.7,4.515417,1860571456
"16",3,1,10,3.525503121,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,66.12938839,12.67387944,21.19673217,6.5,2.179103133,405.9,4.636055,2499570564
"17",3,1,20,5.437986894,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,66.12938839,12.67387944,21.19673217,6.5,2.179103133,405.9,4.636055,2499570564
"18",3,1,30,12.92092242,"Argentina","Ea. San Ramón",-41.004278,-71.059489,1128,7.1,685,66.12938839,12.67387944,21.19673217,6.5,2.179103133,405.9,4.636055,2499570564
"19",4,0,10,2.322066202,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,62.03942111,18.99360739,18.9669715,6.994,1.039265186,535.3,3.110092,908078231.4
"20",4,0,20,3.261787035,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,62.03942111,18.99360739,18.9669715,6.994,1.039265186,535.3,3.110092,908078231.4
"21",4,0,30,9.26039663,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,62.03942111,18.99360739,18.9669715,6.994,1.039265186,535.3,3.110092,908078231.4
"22",4,1,10,3.065476951,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,71.30469567,12.42058922,16.27471511,6.976123364,1.458245844,810.4,3.608403,2777187354
"23",4,1,20,3.790108014,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,71.30469567,12.42058922,16.27471511,6.976123364,1.458245844,810.4,3.608403,2777187354
"24",4,1,30,6.703717811,"Argentina","Lucas Cuesta",-41.253333,-70.080944,1198,7.4,284,71.30469567,12.42058922,16.27471511,6.976123364,1.458245844,810.4,3.608403,2777187354
"25",5,0,10,4.517320678,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,79.82471593,8.063947855,12.11133621,6.768,0.358267444,627.7,3.895001,330359613.9
"26",5,0,20,3.814347339,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,79.82471593,8.063947855,12.11133621,6.768,0.358267444,627.7,3.895001,330359613.9
"27",5,0,30,7.973644755,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,79.82471593,8.063947855,12.11133621,6.768,0.358267444,627.7,3.895001,330359613.9
"28",5,1,10,3.609714833,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,73.63921423,13.12043763,13.24034814,6.83192411,0.91398175,640.7,4.013465,1693798421
"29",5,1,20,3.917086735,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,73.63921423,13.12043763,13.24034814,6.83192411,0.91398175,640.7,4.013465,1693798421
"30",5,1,30,6.571557892,"Argentina","Pilcaniyeu",-41.0335,-70.524528,1072,7.8,416,73.63921423,13.12043763,13.24034814,6.83192411,0.91398175,640.7,4.013465,1693798421
"31",6,0,10,2.586957604,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
"32",6,0,20,5.15745391,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
"33",6,0,30,16.21500961,"Argentina","Bermejo",-31.5511,-67.425,556,18.6,243,73.91622827,2.998823556,23.08494817,8.572,0.64248738,730.4,6.086345,NA
